,Years,Population as of December 31,Marriages,Divorces,Live births,Deaths total,Deaths of which infants,Natural increase,Internal migration inflow,Internal migration outflow,International migration immigration ,International migration emigration,International migration net,Total net migration
0,1950,25035000,267100,11000,763100,288700,82400,474400,1340000,1340000,8100,60900,-52800,-52800
1,1951,25507000,270300,11100,783600,312300,90200,471300,1349800,1349800,3400,7800,-4400,-4400
2,1952,25999000,267700,12500,779000,286700,74300,492300,1386200,1386200,3700,1600,2100,2100
3,1953,26511000,261700,12800,779000,266500,68200,512500,1348600,1348600,2000,2800,-800,-800
4,1954,27012000,263000,12400,778100,276400,64300,501700,1458700,1458700,2800,3800,-1000,-1000
5,1955,27550000,258600,13300,793800,261600,64599,532200,1440000,1440000,4700,1900,2800,2800
6,1956,28080000,260000,13800,779800,249600,55100,530200,1444200,1444200,27600,21800,5800,5800
7,1957,28540000,256700,15700,782300,269100,59900,513200,1321900,1321900,91800,133400,-41600,-41600
8,1958,29000000,263700,15700,755500,241400,54700,514100,1323400,1323400,92800,139300,-46500,-46500
9,1959,29480000,277100,15400,722900,252400,52000,470500,1372000,1372000,43200,37000,6200,6200
10,1960,29795000,244200,14800,669500,224200,37500,445300,1256200,1256200,5700,28000,-22300,-22300
11,1961,30133000,236000,16800,627600,227700,34000,399900,1162500,1162500,3600,26500,-22900,-22900
12,1962,30484000,228100,18000,599500,239200,32900,360300,1034099,1034099,3300,20200,-16900,-16900
13,1963,30940000,219800,19500,589300,231200,29800,358100,986700,986700,2500,20000,-17500,-17500
14,1964,31339000,230700,20900,563900,237000,27900,326900,932900,932900,2300,24200,-21900,-21900
15,1965,31551000,199900,23600,547400,233400,23800,314000,914500,914500,2200,28600,-26400,-26400
16,1966,31811000,225900,24400,531300,233900,21600,297400,840300,840300,2200,28800,-26600,-26600
17,1967,32163000,238000,27000,521799,249100,21300,272700,842100,842100,2100,19900,-17800,-17800
18,1968,32426000,257899,29400,525800,245700,19100,280100,861500,861500,2200,19400,-17200,-17200
19,1969,32671000,270300,33000,532800,264500,19900,268300,898500,898500,2000,22100,-20100,-20100
20,1970,32658000,280300,34600,547800,268600,20000,279200,881900,881900,1900,14100,-12200,-12200
21,1971,32909000,291600,36300,564400,285800,18600,278600,874800,874800,1700,30200,-28500,-28500
22,1972,33202000,307700,37400,577900,267400,18500,310500,895200,895200,1800,19100,-17300,-17300
23,1973,33512000,314500,39700,600900,279500,17700,321400,839400,839400,1400,13000,-11600,-11600
24,1974,33846000,319600,39700,623700,279700,17200,344000,798000,798000,1400,11800,-10400,-10400
25,1975,34185000,330800,41300,646400,299500,18600,346900,863500,863500,1800,9600,-7800,-7800
26,1976,34528000,326700,38000,672800,306800,18700,366000,971500,971500,1800,26700,-24900,-24900
27,1977,34850000,326300,43200,665200,315600,19000,349600,894700,894700,1600,28900,-27300,-27300
28,1978,35081000,327200,35800,669300,328100,18000,341200,964000,964000,1500,29500,-28000,-28000
29,1979,35414000,319000,40300,691300,326000,17400,365300,936600,936600,1700,34200,-32500,-32500
30,1980,35735000,307400,39800,695800,353200,17700,342600,895300,895300,1500,22700,-21200,-21200
31,1981,36062000,322700,40200,681700,331900,16900,349800,800300,800300,1400,23800,-22400,-22400
32,1982,36399000,315800,46700,705400,337900,17200,367500,804600,804600,900,32100,-31200,-31200
33,1983,36745000,305900,45800,723600,352200,16700,371400,721300,721300,1200,26200,-25000,-25000
34,1984,37063000,285300,52900,701700,367600,16100,334100,684000,684000,1600,17400,-15800,-15800
35,1985,37341000,266800,49100,680100,384000,15100,296100,650600,650600,1600,20500,-18900,-18900
36,1986,37572000,257899,50600,637200,378800,13600,258399,652700,652700,1900,29000,-27100,-27100
37,1987,37764000,252800,49700,607800,380700,12900,227100,631000,631000,1800,36400,-34600,-34600
38,1988,37885000,246800,48200,589900,373000,11700,216900,639500,639500,2100,36300,-34200,-34200
39,1989,37988000,255700,47200,564400,383100,10900,181300,596500,596500,2200,26600,-24400,-24400
40,1990,38073000,255400,42400,547700,390300,10600,157400,529900,529900,2600,18400,-15800,-15800
41,1991,38144000,233200,33800,547700,405700,9900,142000,505400,505400,5000,21000,-16000,-16000
42,1992,38203000,217300,32000,515200,394700,9000,120500,494100,494100,6500,18100,-11600,-11600
43,1993,38239000,207700,27900,494300,392300,8000,102000,456800,456800,5900,21300,-15400,-15400
44,1994,38265000,207700,31600,481300,386400,7300,94900,437900,437900,6900,25900,-19000,-19000
45,1995,38284000,207100,38100,433100,386100,5900,47000,419700,419700,8100,26300,-18200,-18200
46,1996,38294000,203600,39400,428200,385500,5200,42700,427300,427300,8200,21300,-13100,-13100
47,1997,38290000,204900,42600,412700,380200,4200,32500,417000,417000,8400,20200,-11800,-11800
48,1998,38277000,209400,45200,395600,375300,3800,20300,425800,425800,8900,22200,-13300,-13300
49,1999,38263000,219400,42000,382000,381400,3400,600,432400,432400,7500,21500,-14000,-14000
50,2000,38254000,211200,42800,378300,368000,3100,10300,394100,394100,7300,27000,-19700,-19700
51,2001,38242000,195100,45300,368200,363200,2800,5000,369300,369300,6600,23300,-16700,-16700
52,2002,38219000,191900,45400,353800,359500,2700,-5700,403600,403600,6600,24500,-17900,-17900
53,2003,38191000,195400,48600,351100,365200,2500,-14100,430500,430500,7000,20800,-13800,-13800
54,2004,38174000,191800,56300,356100,363500,2400,-7400,432600,432600,9500,18900,-9400,-9400
55,2005,38157000,206900,67600,364400,368300,2300,-3900,422800,422800,9300,22200,-12900,-12900
56,2006,38125000,226200,71900,374200,369700,2200,4500,473500,473500,10800,46900,-36100,-36100
57,2007,38116000,248700,66600,387900,377200,2300,10600,511200,511200,15000,35500,-20500,-20500
58,2008,38136000,257700,65500,414500,379400,2300,35100,405500,405500,15300,30100,-14900,-14900
59,2009,38167000,250800,65300,417600,384900,2300,32700,403800,403800,17400,18600,-1200,-1200
60,2010,38530000,228300,61300,413300,378500,2100,34800,422600,422600,15200,17400,-2100,-2100
61,2011,38538000,206500,64599,388400,375500,1800,12900,419900,419900,15500,19900,-4300,-4300
62,2012,38533000,203900,64400,386300,384800,1800,1500,395300,395300,14600,21200,-6600,-6600
63,2013,38496000,180400,66100,369600,387300,1700,-17700,427700,427300,12200,32100,-19900,-19900
64,2014,38479000,188500,65800,375200,376500,1600,-1300,407600,407600,12300,28100,-15800,-15800
65,2015,38437000,188300,67300,369300,394900,1500,-25600,387500,387500,12300,28100,-15800,-15800
66,2016,38433000,193500,63500,382300,388000,1500,-5800,378200,378200,13500,12000,1500,1500
67,2017,38434000,192600,65300,402000,402900,1600,-900,400400,400400,13300,11900,1400,1400
68,2018,38411000,192400,62800,388200,414200,1500,-26000,449800,449800,15500,11800,3600,3600
69,2019,38383000,183400,65300,375000,409700,1400,-34800,468300,468300,16900,10700,6200,6200
70,2020,38089000,145000,51200,355300,477400,1300,-122000,408700,408700,13300,8800,4500,4500
71,2021,37908000,168300,60700,331500,519500,1300,-188000,456600,456600,15400,12000,3400,3400
72,2022,37766000,155800,60200,305100,448400,1200,-143300,433600,433600,15600,13600,1900,1900
73,2023,37637000,145900,56900,272500,409000,1100,-136600,431000,431000,16700,9900,6800,6800
